V1,V2,V3,V4,V5,V6,V7,Class
4,20,16,21,40,24.02,52.39,1
4,10,13,10,32,19.0,33.53,1
3,0,19,2,39,20.1,42.54,1
5,1,24,9,31,10.63,36.36,1
5,1,17,21,35,26.91,40.82,1
5,2,27,8,35,10.0,35.9,1
5,1,31,9,26,9.43,32.57,1
3,0,21,14,38,22.02,44.94,1
4,8,18,9,32,14.04,33.24,1
6,9,31,18,17,16.64,36.36,1
4,22,14,24,21,7.28,35.38,1
3,0,17,1,38,21.02,44.94,1
6,3,24,12,17,11.4,26.83,1
6,13,29,15,28,2.24,33.62,1
5,0,26,24,21,24.52,35.38,1
6,2,38,6,30,8.94,38.83,1
1,21,0,23,21,21.1,39.2,1
2,0,17,26,18,26.02,42.8,1
5,2,45,14,52,13.89,56.46,1
4,8,14,3,39,25.5,39.81,1
4,14,17,15,38,21.02,40.85,1
4,19,8,8,42,35.74,46.1,1
2,0,11,26,11,26.0,40.46,1
4,25,17,24,40,23.02,49.74,1
5,0,33,1,33,1.0,47.17,1
4,12,17,14,38,21.1,40.5,1
5,0,33,21,41,22.47,47.01,1
4,24,14,23,39,25.02,45.79,1
1,19,0,21,14,14.14,49.66,1
4,14,21,6,26,9.43,29.53,1
4,11,12,7,31,19.42,32.89,1
4,25,10,27,18,8.25,53.34,1
5,2,38,5,43,5.83,44.64,1
5,2,39,17,18,25.81,42.54,1
3,0,21,2,31,10.2,53.31,1
2,0,25,16,6,24.84,44.38,1
5,0,31,5,37,7.81,37.66,1
2,0,22,25,9,28.18,60.84,1
2,0,25,22,6,29.07,49.24,1
4,24,20,1,38,29.21,44.94,1
4,9,18,6,33,15.3,34.21,1
3,0,19,2,43,24.08,53.85,1
5,2,22,17,29,16.55,34.99,1
6,8,35,8,29,6.0,35.9,1
4,7,24,5,37,13.15,37.66,1
4,22,6,24,13,7.28,49.24,1
5,1,41,4,48,7.62,52.39,1
4,15,12,8,38,26.93,40.85,1
1,13,0,14,26,26.02,48.38,1
6,6,40,12,21,19.92,41.76,1
3,0,18,2,37,19.1,43.68,1
2,0,20,18,16,18.44,45.19,1
4,7,24,5,37,13.15,37.66,1
6,3,24,12,17,11.4,26.83,1
2,0,25,10,11,17.2,55.9,1
1,22,0,24,23,23.09,44.94,1
3,0,24,1,48,24.02,52.39,1
4,10,21,8,46,25.08,47.07,1
5,1,21,18,25,17.46,32.02,1
4,20,15,20,40,25.0,53.85,1
5,1,24,9,31,10.63,36.36,1
3,0,17,5,37,20.62,38.08,1
4,23,10,3,31,29.0,38.6,1
5,0,46,4,51,6.4,51.79,1
4,19,13,17,26,13.15,32.2,1
4,8,14,3,39,25.5,39.81,1
1,24,0,25,17,17.03,49.74,1
6,5,22,9,24,4.47,26.0,1
5,2,29,4,37,8.25,42.06,1
4,13,11,15,30,19.1,37.16,1
5,2,12,21,30,26.17,36.62,1
2,0,24,20,16,21.54,52.39,1
4,18,16,19,41,25.02,45.19,1
2,0,17,25,10,25.96,53.34,1
4,10,15,9,26,11.05,32.57,1
4,26,18,26,30,12.0,42.8,1
5,0,16,20,17,20.02,26.25,1
4,20,15,20,40,25.0,53.85,1
5,1,46,15,38,16.12,48.38,1
1,19,0,20,15,15.03,53.85,1
4,23,27,21,41,14.14,47.01,1
5,2,46,13,55,14.21,60.84,1
4,8,11,8,29,18.0,35.9,1
2,0,21,10,21,10.0,47.07,1
3,0,13,2,35,22.09,40.85,1
3,0,18,7,31,14.76,32.89,1
3,0,21,2,31,10.2,53.31,1
6,8,35,8,29,6.0,35.9,1
5,2,27,8,35,10.0,35.9,1
4,10,11,10,32,21.0,55.9,1
3,0,18,2,37,19.1,43.68,1
3,0,24,0,33,9.0,47.01,1
4,21,25,21,49,24.0,53.31,1
2,0,22,22,15,23.09,56.46,1
4,9,17,5,37,20.4,38.08,1
3,0,13,2,35,22.09,40.85,1
4,20,14,19,31,17.03,42.06,1
2,0,22,25,9,28.18,60.84,1
4,8,7,6,30,23.09,38.83,1
3,0,22,2,29,7.28,42.06,1
1,16,0,17,25,25.02,45.19,1
3,0,14,3,39,25.18,39.81,1
4,17,14,15,28,14.14,33.62,1
4,12,8,6,31,23.77,33.24,1
2,0,16,25,18,25.08,47.17,1
3,0,18,2,38,20.1,44.64,1
3,0,17,1,38,21.02,44.94,1
5,1,34,14,38,13.6,40.5,1
3,0,21,2,27,6.32,45.19,1
6,6,28,12,28,6.0,30.46,1
