V1,V2,V3,V4,V5,V6,V7,Class
2,0,14,9,18,9.85,34.21,1
0,0,0,0,9,9.0,30.46,1
0,0,0,0,19,19.0,38.83,1
3,0,19,0,25,6.0,33.53,1
0,0,0,0,20,20.0,40.85,1
0,0,0,0,20,20.0,45.19,1
1,8,0,9,18,18.03,34.21,1
0,0,0,0,14,14.0,34.21,1
0,0,0,0,16,16.0,47.17,1
1,16,0,17,14,14.04,33.62,1
2,0,14,8,18,8.94,33.24,1
2,0,9,10,7,10.2,30.46,1
0,0,0,0,19,19.0,37.66,1
0,0,0,0,6,6.0,32.02,1
0,0,0,0,12,12.0,30.41,1
0,0,0,0,14,14.0,33.24,1
0,0,0,0,7,7.0,40.0,1
0,0,0,0,7,7.0,34.99,1
1,17,0,18,12,12.04,36.72,1
0,0,0,0,11,11.0,32.2,1
1,15,0,15,14,14.0,26.63,1
0,0,0,0,13,13.0,37.16,1
1,8,0,8,7,7.0,38.83,1
1,11,0,12,17,17.03,40.5,1
2,0,19,10,13,11.66,33.53,1
1,11,0,12,7,7.07,44.64,1
0,0,0,0,21,21.0,45.19,1
0,0,0,0,25,25.0,49.24,1
4,12,6,12,17,11.0,26.83,1
0,0,0,0,13,13.0,35.9,1
1,9,0,11,18,18.11,25.5,1
3,0,6,1,13,7.07,26.0,1
2,0,13,8,15,8.25,30.08,1
0,0,0,0,11,11.0,32.2,1
2,0,13,8,11,8.25,33.96,1
0,0,0,0,19,19.0,38.95,1
0,0,0,0,12,12.0,37.66,1
0,0,0,0,17,17.0,53.34,1
1,8,0,8,14,14.0,39.81,1
0,0,0,0,13,13.0,27.46,1
1,8,0,9,18,18.03,34.21,1
1,6,0,7,24,24.02,37.66,1
1,14,0,14,12,12.0,30.41,1
0,0,0,0,12,12.0,37.66,1
0,0,0,0,22,22.0,41.59,1
0,0,0,0,19,19.0,49.74,1
0,0,0,0,13,13.0,27.46,1
0,0,0,0,10,10.0,33.62,1
1,7,0,8,18,18.03,33.24,1
0,0,0,0,15,15.0,37.48,1
0,0,0,0,18,18.0,29.55,1
0,0,0,0,17,17.0,53.34,1
0,0,0,0,12,12.0,36.72,1
0,0,0,0,18,18.0,32.89,1
0,0,0,0,18,18.0,43.68,1
0,0,0,0,18,18.0,43.01,1
1,9,0,10,13,13.04,33.53,1
1,12,0,12,8,8.0,33.24,1
1,6,0,8,11,11.18,35.9,1
0,0,0,0,20,20.0,46.1,1
